last_name, first_name,player_id,year,player_age,b_ab,b_total_pa,b_total_hits,b_single,b_double,b_triple,b_home_run,b_strikeout,b_walk,b_k_percent,b_bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,xba,xslg,woba,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,whiff_percent,
Iglesias, Jose,578428,2021,31,164,172,45,35,6,0,4,27,6,15.7,3.5,.274,.384,.308,.692,.275,.379,.304,.303,.308,.105,85.6,9.3,31.4,3.6,19.1,
Bryant, Kris,592178,2021,29,200,228,62,32,16,1,13,51,24,22.4,10.5,.310,.595,.390,.985,.277,.499,.417,.369,.361,.223,87.4,13.3,35.3,12,25.9,
Canha, Mark,592192,2021,32,212,259,56,33,10,2,11,53,34,20.5,13.1,.264,.486,.394,.880,.258,.480,.385,.378,.389,.223,88.5,16.4,43.1,11.9,20.8,
Casali, Curt,592200,2021,33,67,80,7,6,1,0,0,24,11,30.0,13.8,.104,.119,.250,.369,.170,.303,.189,.274,.305,.132,85.9,22.3,30.2,4.7,28.9,
Castellanos, Nick,592206,2021,29,204,224,75,44,18,1,12,40,18,17.9,8.0,.368,.642,.424,1.066,.339,.605,.454,.423,.398,.266,91,12,45.7,9.8,30,
Gamel, Ben,592325,2021,29,67,76,12,6,5,1,0,23,7,30.3,9.2,.179,.284,.250,.534,.205,.309,.236,.265,.275,.104,89.9,18.9,38,6,24.6,
Goodrum, Niko,592348,2021,29,158,178,34,25,4,1,4,66,17,37.1,9.6,.215,.329,.298,.627,.199,.341,.280,.286,.287,.142,89,15.6,36.8,9.5,40,
Jones, JaCoby,592444,2021,29,100,105,17,13,2,0,2,42,5,40.0,4.8,.170,.250,.210,.460,.200,.349,.205,.255,.238,.148,89.4,10.3,41.4,8.6,36.7,
Judge, Aaron,592450,2021,29,193,227,56,35,7,0,14,58,32,25.6,14.1,.290,.544,.392,.936,.336,.641,.398,.448,.429,.305,96.9,11.6,42.9,18.6,28.1,
Machado, Manny,592518,2021,29,194,224,45,28,8,2,7,43,28,19.2,12.5,.232,.402,.326,.728,.252,.445,.318,.343,.346,.192,93.6,13,29.4,9.8,24.4,
Marmolejos, Jose,592530,2021,28,79,94,11,6,2,0,3,32,14,34.0,14.9,.139,.278,.266,.544,.171,.346,.252,.284,.293,.175,90,22.6,35.4,10.4,31.1,
Moran, Colin,592567,2021,29,111,122,33,22,7,0,4,34,10,27.9,8.2,.297,.468,.352,.821,.263,.423,.355,.322,.321,.160,89.1,9.1,42.3,9,26.8,
Pederson, Joc,592626,2021,29,154,176,36,25,3,2,6,48,15,27.3,8.5,.234,.396,.313,.709,.244,.420,.310,.333,.329,.176,92.2,16.7,28.4,11,26.1,
Realmuto, J.T.,592663,2021,30,129,156,37,24,8,1,4,37,20,23.7,12.8,.287,.457,.397,.855,.292,.510,.373,.400,.407,.218,90.1,9.3,35.1,11.7,27.7,
Renfroe, Hunter,592669,2021,29,166,177,44,26,11,0,7,45,9,25.4,5.1,.265,.458,.299,.757,.252,.462,.326,.321,.293,.210,91.5,15.6,40,11.2,28.8,
Rosario, Eddie,592696,2021,30,194,211,46,33,8,1,4,35,13,16.6,6.2,.237,.351,.284,.635,.242,.392,.281,.303,.295,.150,88.2,12.9,34,4.3,20.1,
Simmons, Andrelton,592743,2021,32,144,161,36,29,5,0,2,30,16,18.6,9.9,.250,.326,.329,.656,.256,.314,.297,.295,.334,.058,83.6,-1.7,31.6,0.9,19.8,
Wilkerson, Stevie,592859,2021,29,50,54,9,6,3,0,0,18,3,33.3,5.6,.180,.240,.241,.481,.180,.254,.220,.225,.240,.074,86.4,6.6,34.4,0,32,
Yelich, Christian,592885,2021,30,79,96,20,16,1,1,2,31,16,32.3,16.7,.253,.367,.385,.753,.235,.410,.356,.349,.373,.175,91.5,2.4,30,12,29.2,
Merrifield, Whit,593160,2021,32,213,239,56,38,13,0,5,24,18,10.0,7.5,.263,.394,.322,.717,.275,.423,.310,.327,.335,.148,87.1,12.9,36.9,4,12.8,
Bogaerts, Xander,593428,2021,29,203,224,63,38,15,0,10,44,18,19.6,8.0,.310,.532,.371,.903,.301,.504,.387,.370,.361,.203,88.6,9.5,39,9.8,23.6,
Alberto, Hanser,593643,2021,29,90,94,24,15,7,2,0,12,0,12.8,0.0,.267,.389,.266,.655,.266,.373,.280,.281,.275,.107,84,14.9,30.6,2.4,18.4,
Polanco, Jorge,593871,2021,28,189,214,43,24,12,1,6,38,20,17.8,9.3,.228,.397,.304,.701,.269,.473,.314,.351,.342,.205,89.5,15.5,33.5,9.5,16.9,
Sano, Miguel,593934,2021,28,142,163,23,9,3,0,11,62,20,38.0,12.3,.162,.415,.270,.685,.176,.381,.297,.295,.286,.204,90.9,23.3,30.9,16,41.3,
Difo, Wilmer,594694,2021,29,81,86,20,14,3,2,1,24,5,27.9,5.8,.247,.370,.291,.661,.220,.318,.289,.258,.265,.098,83.2,12.9,40.4,3.5,30.5,
Calhoun, Kole,594777,2021,34,48,51,14,9,3,0,2,13,3,25.5,5.9,.292,.479,.333,.813,.222,.446,.351,.304,.268,.224,89.4,14.5,42.9,8.6,36.3,
Duvall, Adam,594807,2021,33,171,184,34,19,5,1,9,60,11,32.6,6.0,.199,.398,.250,.648,.212,.458,.274,.303,.261,.246,91.7,22.1,28.4,13.8,29.3,
Eaton, Adam,594809,2021,33,150,176,30,17,7,1,5,45,17,25.6,9.7,.200,.360,.295,.655,.223,.345,.290,.300,.320,.123,88.4,6.2,30.9,6.4,25,
Gosselin, Phil,594838,2021,33,62,66,18,12,5,0,1,19,3,28.8,4.5,.290,.419,.333,.753,.233,.391,.329,.293,.280,.157,89.6,8.4,30.2,7,30.5,
Kiermaier, Kevin,595281,2021,31,119,128,24,17,5,1,1,41,8,32.0,6.3,.202,.286,.258,.544,.215,.309,.240,.255,.269,.093,89.2,0.5,27.2,4.9,32.6,
Knapp, Andrew,595284,2021,30,81,88,13,11,1,0,1,31,6,35.2,6.8,.160,.210,.216,.426,.186,.296,.195,.239,.240,.110,84.9,15,27.5,3.9,34.9,
Wallach, Chad,595453,2021,30,59,65,12,9,2,1,0,31,3,47.7,4.6,.203,.271,.246,.517,.115,.163,.229,.166,.177,.048,84.9,8.1,33.3,3.3,44.7,
Alfaro, Jorge,595751,2021,28,59,63,14,11,1,0,2,19,2,30.2,3.2,.237,.356,.286,.642,.250,.466,.286,.326,.295,.216,94.4,7,33.3,14.3,35.3,
Profar, Jurickson,595777,2021,28,176,206,41,33,6,1,1,33,25,16.0,12.1,.233,.295,.325,.621,.234,.296,.284,.287,.330,.062,85.5,12.4,28.1,0.7,17.3,
Baez, Javier,595879,2021,29,200,214,49,29,5,1,14,80,7,37.4,3.3,.245,.490,.280,.770,.217,.436,.327,.299,.259,.219,89.7,11.5,27,13.9,39.6,
Cave, Jake,595909,2021,29,84,93,14,8,5,0,1,35,6,37.6,6.5,.167,.262,.237,.498,.197,.300,.228,.255,.267,.103,87.5,5.7,36,4,33.5,
Evans, Phillip,595943,2021,29,111,129,24,17,3,0,4,29,14,22.5,10.9,.216,.351,.326,.677,.279,.443,.307,.362,.379,.165,92,5.9,30.5,8.5,26.2,
Hedges, Austin,595978,2021,29,89,98,13,9,1,0,3,36,6,36.7,6.1,.146,.258,.194,.452,.155,.233,.200,.194,.209,.078,85.1,23.6,32.1,3.6,34.2,
Lindor, Francisco,596019,2021,28,189,218,42,29,7,1,5,36,23,16.5,10.6,.222,.349,.307,.657,.240,.397,.293,.322,.329,.158,90.1,11.6,31.8,6.4,21.3,
Odor, Rougned,596059,2021,27,106,119,20,12,3,0,5,31,10,26.1,8.4,.189,.358,.277,.636,.221,.384,.274,.302,.303,.163,88.9,19.2,34.2,6.3,29.1,
Slater, Austin,596103,2021,29,129,147,28,18,2,1,7,49,18,33.3,12.2,.217,.411,.313,.724,.236,.409,.318,.326,.330,.173,86.4,5.5,37.5,10,32.4,
Story, Trevor,596115,2021,29,184,205,47,28,12,2,5,46,18,22.4,8.8,.255,.424,.322,.746,.260,.462,.320,.337,.328,.202,89.1,16.1,40.7,8.6,25.6,
