last_name, first_name,player_id,year,player_age,b_ab,b_total_pa,b_total_hits,b_single,b_double,b_triple,b_home_run,b_strikeout,b_walk,b_k_percent,b_bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,xba,xslg,woba,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,whiff_percent,
Refsnyder, Rob,608701,2021,30,50,55,16,11,3,0,2,15,4,27.3,7.3,.320,.500,.364,.864,.283,.519,.370,.357,.330,.236,90.6,12.9,41.7,13.9,30.6,
Andujar, Miguel,609280,2021,26,77,77,18,15,1,0,2,20,0,26.0,0.0,.234,.325,.234,.558,.253,.423,.258,.287,.253,.171,89.1,7,33.9,8.5,25.5,
Cordero, Franchy,614173,2021,27,95,102,17,10,6,0,1,37,6,36.3,5.9,.179,.274,.225,.499,.190,.303,.224,.240,.238,.113,90.1,4.3,30.5,5.1,40.1,
Reyes, Franmil,614177,2021,26,144,158,37,15,9,2,11,48,12,30.4,7.6,.257,.576,.316,.893,.256,.559,.374,.370,.318,.303,93.7,8.3,29.9,20.6,33.9,
Torrens, Luis,620443,2021,25,90,96,16,9,5,0,2,25,4,26.0,4.2,.178,.300,.219,.519,.221,.374,.227,.275,.261,.153,90.1,5.5,28.8,9.1,27.5,
Robertson, Daniel,621002,2021,27,46,53,6,3,2,0,1,16,5,30.2,9.4,.130,.239,.226,.466,.168,.277,.219,.249,.264,.109,84.9,10.3,22.6,6.5,27.8,
Swanson, Dansby,621020,2021,27,202,223,48,26,12,1,9,63,14,28.3,6.3,.238,.441,.291,.732,.254,.488,.315,.341,.311,.233,89.7,14.8,39.5,11.6,31,
Newman, Kevin,621028,2021,28,193,203,41,34,5,1,1,12,9,5.9,4.4,.212,.264,.246,.511,.247,.320,.224,.266,.279,.073,84.8,7.3,31,1.1,11.7,
Taylor, Chris,621035,2021,31,178,214,50,32,8,3,7,53,30,24.8,14.0,.281,.478,.402,.879,.266,.469,.384,.375,.390,.203,89.2,13.3,40.8,9.6,31.6,
Correa, Carlos,621043,2021,27,210,240,60,37,13,0,10,37,28,15.4,11.7,.286,.490,.371,.861,.292,.468,.371,.363,.377,.175,90.1,13.7,31.6,8,22.2,
Dahl, David,621311,2021,27,144,154,30,19,7,0,4,41,6,26.6,3.9,.208,.340,.240,.581,.242,.421,.253,.299,.275,.179,88.4,14,38.7,8.5,27,
Phillips, Brett,621433,2021,27,110,128,24,16,5,0,3,53,15,41.4,11.7,.218,.345,.305,.650,.195,.328,.301,.275,.289,.133,86.9,9.6,34.4,6.6,34.1,
Taylor, Tyrone,621438,2021,27,82,92,18,10,3,0,5,21,5,22.8,5.4,.220,.439,.304,.743,.249,.473,.322,.348,.329,.224,87.2,17,32.3,11.3,23.2,
Buxton, Byron,621439,2021,28,92,98,34,15,10,0,9,23,4,23.5,4.1,.370,.772,.408,1.180,.326,.695,.495,.444,.368,.369,94.2,9.3,36.2,21.7,30.9,
Brinson, Lewis,621446,2021,27,63,64,14,9,3,0,2,19,1,29.7,1.6,.222,.365,.234,.599,.238,.357,.258,.263,.250,.119,89.6,11.7,27.3,6.8,36.1,
Duggar, Steven,621453,2021,28,79,85,24,14,5,1,4,32,6,37.6,7.1,.304,.544,.353,.897,.222,.451,.384,.311,.277,.229,89.8,16.1,40.4,12.8,32.4,
Rios, Edwin,621458,2021,27,51,60,4,3,0,0,1,18,7,30.0,11.7,.078,.137,.217,.354,.136,.294,.183,.257,.265,.159,90,11.1,27.3,12.1,31.2,
Stewart, DJ,621466,2021,28,128,150,27,16,5,0,6,37,20,24.7,13.3,.211,.391,.327,.717,.218,.398,.320,.323,.333,.179,87,19.1,34.1,7.7,31.1,
Ward, Taylor,621493,2021,28,91,103,21,13,3,0,5,27,7,26.2,6.8,.231,.429,.301,.730,.240,.456,.319,.329,.313,.216,89.5,14.8,36.4,13.6,28,
Mathisen, Wyatt,621500,2021,28,42,51,5,4,0,0,1,21,5,41.2,9.8,.119,.190,.255,.445,.181,.286,.220,.275,.306,.106,86.8,23.7,31.8,4.5,43.5,
Nido, Tomas,621512,2021,27,66,71,17,11,2,1,3,16,3,22.5,4.2,.258,.455,.310,.764,.270,.475,.331,.343,.322,.205,88,8.7,38,10,35.1,
Wendle, Joey,621563,2021,31,173,189,50,27,16,1,6,38,11,20.1,5.8,.289,.497,.344,.841,.233,.354,.355,.284,.292,.121,87.1,7.5,29.5,5,24.1,
Olson, Matt,621566,2021,27,194,226,54,25,14,0,15,38,25,16.8,11.1,.278,.582,.367,.950,.265,.543,.398,.384,.361,.278,92.9,16.8,29.6,13.8,23.4,
Duffy, Matt,622110,2021,30,90,106,25,20,4,0,1,18,11,17.0,10.4,.278,.356,.377,.733,.297,.426,.332,.363,.394,.129,87.6,6.8,38.4,4.1,11.1,
Walton, Donovan,622268,2021,27,53,56,11,8,1,1,1,13,1,23.2,1.8,.208,.321,.214,.535,.220,.310,.234,.234,.234,.090,87.5,12.6,33.3,4.8,26.9,
Margot, Manuel,622534,2021,27,182,193,44,29,8,2,5,30,10,15.5,5.2,.242,.390,.280,.670,.265,.409,.287,.308,.301,.144,87.9,10.5,31,5.7,19.8,
Reyes, Victor,622682,2021,27,83,86,13,7,4,1,1,25,3,29.1,3.5,.157,.265,.186,.451,.236,.345,.197,.265,.263,.108,89.1,8.1,36.2,3.4,30,
Mateo, Jorge,622761,2021,26,69,74,15,11,3,0,1,18,1,24.3,1.4,.217,.304,.257,.561,.228,.323,.252,.264,.270,.095,84.7,9.4,42.3,5.8,29.1,
Bote, David,623520,2021,28,144,162,29,19,5,0,5,36,13,22.2,8.0,.201,.340,.278,.618,.263,.487,.276,.355,.336,.224,90.1,7.4,29.1,13.6,27.5,
Ramirez, Harold,623912,2021,27,94,100,26,15,7,1,3,12,4,12.0,4.0,.277,.468,.320,.788,.329,.531,.337,.386,.369,.201,93.8,2.8,28,9.8,22.7,
Santander, Anthony,623993,2021,27,114,124,29,18,8,0,3,30,4,24.2,3.2,.254,.404,.282,.686,.273,.384,.295,.306,.309,.111,90.4,11.2,33,6.8,25.7,
Alonso, Pete,624413,2021,27,150,173,37,23,7,0,7,41,19,23.7,11.0,.247,.433,.335,.769,.262,.522,.336,.370,.350,.259,93.3,16.8,34.2,17.1,25.5,
Arroyo, Christian,624414,2021,26,85,92,24,16,8,0,0,23,3,25.0,3.3,.282,.376,.326,.703,.224,.305,.321,.259,.273,.081,84.4,5.3,32.8,3.1,27.3,
Biggio, Cavan,624415,2021,26,127,151,26,19,3,1,3,47,20,31.1,13.2,.205,.315,.311,.626,.194,.299,.285,.275,.306,.106,88.8,15.3,32.9,3.7,29.1,
Conforto, Michael,624424,2021,28,113,135,26,18,6,0,2,27,18,20.0,13.3,.230,.336,.356,.692,.275,.471,.318,.378,.394,.196,88.3,12.1,34.9,9.3,22.6,
Frazier, Adam,624428,2021,30,221,246,74,50,19,3,2,27,20,11.0,8.1,.335,.475,.398,.873,.291,.385,.378,.330,.359,.094,85.6,16.3,38.2,1,12.1,
Trevino, Jose,624431,2021,29,130,138,32,27,3,0,2,30,4,21.7,2.9,.246,.315,.261,.576,.259,.390,.254,.291,.279,.131,88.3,6.4,35.6,4.8,22.9,
Nunez, Dom,624513,2021,26,111,126,18,6,5,2,5,51,15,40.5,11.9,.162,.378,.262,.640,.163,.333,.271,.254,.263,.170,86.3,15.1,40,11.7,39.2,
Soler, Jorge,624585,2021,29,175,204,31,16,11,0,4,63,18,30.9,8.8,.177,.309,.255,.563,.223,.435,.254,.322,.307,.212,93,17.4,27.1,12.7,31.6,
Sosa, Edmundo,624641,2021,25,77,90,21,16,3,1,1,16,5,17.8,5.6,.273,.377,.378,.754,.233,.360,.338,.316,.344,.127,88.2,-0.4,24.6,4.9,26.7,
Heredia, Guillermo,628338,2021,30,93,104,25,12,11,0,2,31,10,29.8,9.6,.269,.452,.346,.798,.247,.387,.331,.307,.324,.140,87.6,13.1,38.5,7.7,27.5,
Hernandez, Yadiel,628450,2021,34,66,73,18,15,1,0,2,19,5,26.0,6.8,.273,.379,.329,.708,.253,.447,.308,.330,.316,.195,90.7,3.8,36.7,8.2,33.8,
Cronenworth, Jake,630105,2021,27,224,254,62,43,13,1,5,35,20,13.8,7.9,.277,.411,.339,.749,.256,.409,.330,.319,.327,.153,88,13.6,34.4,6.3,12.2,
Frazier, Clint,640449,2021,27,144,168,27,17,5,0,5,47,23,28.0,13.7,.188,.326,.304,.630,.209,.364,.280,.305,.320,.155,86.8,14.9,28.3,11.1,26.4,
Meadows, Austin,640457,2021,26,200,236,48,19,15,1,13,58,31,24.6,13.1,.240,.520,.347,.867,.242,.481,.375,.361,.352,.239,89.9,20.6,42.3,12.8,26.3,
Pinder, Chad,640461,2021,29,68,72,16,6,7,0,3,23,4,31.9,5.6,.235,.471,.278,.748,.266,.624,.320,.387,.307,.357,96,6.8,40,22.2,24.1,
Anderson, Tim,641313,2021,28,184,195,53,40,8,0,5,49,10,25.1,5.1,.288,.413,.328,.741,.265,.427,.331,.316,.306,.162,89.3,1,25.9,6.5,30.3,
Bauers, Jake,641343,2021,26,100,113,19,14,3,0,2,27,12,23.9,10.6,.190,.280,.274,.554,.260,.401,.251,.324,.339,.141,89.7,17.7,37,5.5,30.7,
Bellinger, Cody,641355,2021,26,42,50,8,5,1,1,1,17,8,34.0,16.0,.190,.333,.320,.653,.179,.270,.297,.272,.310,.092,89.7,14.8,44,4,33.6,
Calhoun, Willie,641432,2021,27,155,169,40,27,7,1,5,20,13,11.8,7.7,.258,.413,.320,.732,.283,.444,.321,.341,.342,.161,91.3,15.9,30.4,3.7,15,
Collins, Zack,641470,2021,26,78,91,15,8,5,0,2,29,12,31.9,13.2,.192,.333,.297,.630,.203,.367,.286,.302,.310,.163,91.4,21,32,10,29.6,
Crawford, J.P.,641487,2021,26,202,222,52,37,12,0,3,38,18,17.1,8.1,.257,.361,.320,.681,.253,.346,.302,.297,.317,.094,85.8,10.8,33.9,3.6,17.7,
Davis, Jonathan,641505,2021,29,62,74,9,7,1,0,1,19,9,25.7,12.2,.145,.210,.284,.493,.212,.328,.242,.307,.340,.116,87.2,10.5,27.9,7,27.4,
Dozier, Hunter,641531,2021,30,140,153,20,7,5,2,6,48,12,31.4,7.8,.143,.336,.216,.551,.209,.415,.249,.297,.275,.206,90.2,19.2,29.5,12.6,32,
Garver, Mitch,641598,2021,30,116,135,26,10,8,0,8,45,19,33.3,14.1,.224,.500,.333,.833,.229,.503,.359,.359,.338,.274,90.4,19.5,33.8,15.5,30.5,
Hampson, Garrett,641658,2021,27,192,212,47,26,12,4,5,49,16,23.1,7.5,.245,.427,.302,.729,.237,.412,.313,.306,.298,.176,86.8,13.6,41.1,6.8,20.1,
Heim, Jonah,641680,2021,26,69,76,12,6,4,0,2,15,6,19.7,7.9,.174,.319,.237,.556,.191,.293,.244,.252,.259,.102,86.7,12,27.3,1.8,18.3,
Lewis, Kyle,641786,2021,26,130,147,32,23,4,0,5,37,16,25.2,10.9,.246,.392,.333,.726,.254,.491,.322,.356,.341,.236,89.7,16.8,45.2,14,34.2,
Locastro, Tim,641796,2021,29,99,111,19,16,2,0,1,22,6,19.8,5.4,.192,.242,.279,.522,.223,.293,.243,.276,.306,.071,80.9,13.3,30.8,1.3,22,
Mancini III, Trey,641820,2021,29,210,236,59,35,13,0,11,49,23,20.8,9.7,.281,.500,.356,.856,.309,.556,.368,.399,.382,.247,89.9,9.4,37.7,13,27.6,
McKinney, Billy,641856,2021,27,120,132,25,12,6,2,5,31,11,23.5,8.3,.208,.417,.273,.689,.243,.430,.294,.313,.304,.187,88.9,17.3,37.8,7.8,21,
McMahon, Ryan,641857,2021,27,210,229,53,28,12,0,13,54,17,23.6,7.4,.252,.495,.306,.801,.269,.529,.339,.355,.321,.260,92.4,17.7,39.9,10.1,30.5,
Neuse, Sheldon,641914,2021,27,58,59,10,6,1,0,3,22,1,37.3,1.7,.172,.345,.186,.531,.196,.407,.227,.260,.209,.211,88.7,13.9,30.6,13.9,37.7,
O'Neill, Tyler,641933,2021,26,139,147,39,18,9,0,12,52,4,35.4,2.7,.281,.604,.313,.917,.285,.635,.386,.397,.320,.350,93.3,18.3,45.5,21.6,38.6,
Sisco, Chance,642082,2021,26,65,73,10,8,2,0,0,18,6,24.7,8.2,.154,.185,.247,.431,.168,.238,.208,.232,.259,.070,83.8,11.9,25.5,2.1,33.1,
Smith, Dominic,642086,2021,26,166,186,43,33,7,0,3,43,14,23.1,7.5,.259,.355,.328,.683,.266,.437,.300,.341,.340,.170,87.8,13,42.4,7.2,31.5,
Tellez, Rowdy,642133,2021,26,112,122,24,17,3,1,3,24,8,19.7,6.6,.214,.339,.279,.618,.249,.441,.271,.321,.311,.191,92,11.6,31.8,13.6,23.5,
Valaika, Pat,642162,2021,29,78,85,13,10,2,0,1,24,5,28.2,5.9,.167,.231,.212,.443,.206,.372,.201,.278,.258,.166,88.1,20.9,46.4,7.1,27.2,
VanMeter, Josh,642165,2021,26,69,82,11,7,2,1,1,23,11,28.0,13.4,.159,.261,.280,.541,.174,.315,.252,.277,.294,.141,89.1,20.8,27.7,8.5,29.7,
White, Eli,642201,2021,27,55,60,7,6,0,1,0,20,5,33.3,8.3,.127,.164,.200,.364,.185,.274,.172,.240,.253,.089,85.7,8.8,40,5.7,39,
Williams, Justin,642211,2021,26,119,137,19,15,0,0,4,46,17,33.6,12.4,.160,.261,.270,.531,.242,.406,.231,.316,.341,.164,92.1,3.9,37,11,36.9,
Mejia, Francisco,642336,2021,26,96,107,25,16,6,0,3,18,5,16.8,4.7,.260,.417,.318,.734,.231,.355,.322,.289,.296,.124,87.2,12.6,33.8,6.3,18,
Sierra, Magneuris,642423,2021,25,80,89,20,18,2,0,0,19,9,21.3,10.1,.250,.275,.326,.601,.231,.263,.257,.247,.309,.032,82,5.8,24.6,0,18.7,
Rosario, Amed,642708,2021,26,167,183,41,30,5,3,3,35,15,19.1,8.2,.246,.365,.311,.677,.261,.354,.300,.304,.326,.093,88.6,6.7,30.3,1.5,25.7,
Adames, Willy,642715,2021,26,176,193,38,21,8,1,8,66,17,34.2,8.8,.216,.409,.285,.694,.225,.445,.301,.316,.292,.220,88.9,21.6,34.2,13.2,36.2,
Gutierrez, Kelvin,642721,2021,27,65,66,17,13,3,1,0,13,1,19.7,1.5,.262,.338,.273,.611,.229,.316,.266,.243,.241,.087,91.6,-0.8,19.2,3.8,28.3,
Benintendi, Andrew,643217,2021,27,190,209,56,43,6,1,6,39,17,18.7,8.1,.295,.432,.349,.781,.271,.454,.342,.340,.333,.184,89.1,13.4,35.9,7.7,20.8,
Cooper, Garrett,643265,2021,31,158,175,40,27,7,1,5,50,14,28.6,8.0,.253,.405,.326,.731,.251,.402,.324,.321,.327,.151,90.5,9.1,32.4,7.2,27.8,
Craig, Will,643269,2021,27,60,65,13,10,2,0,1,22,5,33.8,7.7,.217,.300,.277,.577,.182,.279,.253,.229,.245,.097,79.9,2.8,28.9,5.3,28.6,
Dubon, Mauricio,643289,2021,27,124,133,29,20,5,0,4,29,6,21.8,4.5,.234,.371,.271,.642,.235,.393,.272,.284,.277,.158,87.5,15.8,34,5.2,23.3,
Jansen, Danny,643376,2021,26,107,121,16,10,3,0,3,31,12,25.6,9.9,.150,.262,.240,.501,.197,.322,.231,.271,.284,.125,88,19.4,28.6,3.9,25.6,
Kemp, Tony,643393,2021,30,91,114,26,17,5,2,2,18,16,15.8,14.0,.286,.451,.377,.828,.247,.342,.364,.319,.359,.095,85.9,19.5,40.5,0,17.3,
Kiner-Falefa, Isiah,643396,2021,26,238,253,68,50,11,2,5,41,8,16.2,3.2,.286,.412,.320,.732,.280,.385,.320,.308,.316,.106,86.7,2,30.7,3,18.4,
McNeil, Jeff,643446,2021,29,99,113,24,17,4,0,3,9,12,8.0,10.6,.242,.374,.336,.710,.248,.428,.318,.337,.341,.180,88.4,12.2,28.9,5.6,17.6,
Tauchman, Mike,643565,2021,31,113,135,22,16,4,0,2,39,20,28.9,14.8,.195,.283,.319,.602,.177,.274,.282,.271,.306,.098,86.2,10.4,37.3,2.7,32.1,
Chang, Yu,644374,2021,26,79,84,14,8,5,0,1,24,4,28.6,4.8,.177,.278,.214,.493,.192,.313,.216,.235,.228,.122,86.6,27.5,26.8,7.1,25,
Albies, Ozzie,645277,2021,24,203,228,50,21,17,3,9,37,20,16.2,8.8,.246,.493,.320,.813,.280,.520,.354,.369,.349,.240,89.3,21.6,38.6,11.1,27,
Robles, Victor,645302,2021,24,128,150,28,20,7,1,0,35,15,23.3,10.0,.219,.289,.327,.616,.218,.315,.279,.292,.330,.098,86.6,21.3,28.4,2.1,23.6,
Ford, Mike,645801,2021,29,60,72,8,5,0,0,3,23,11,31.9,15.3,.133,.283,.278,.561,.184,.421,.256,.319,.320,.237,90.9,15.6,35.1,18.9,29.7,
Devers, Rafael,646240,2021,25,203,226,57,25,17,0,15,62,19,27.4,8.4,.281,.586,.345,.931,.288,.597,.391,.398,.359,.310,92.8,9.4,36.6,18.6,30.6,
Naylor, Josh,647304,2021,24,176,189,44,30,9,0,5,38,10,20.1,5.3,.250,.386,.296,.683,.249,.411,.298,.306,.297,.162,88.2,8.3,30.4,8,21.8,
Diaz, Aledmys,649557,2021,31,112,122,30,19,8,0,3,19,4,15.6,3.3,.268,.420,.328,.748,.302,.506,.335,.369,.363,.205,89.2,13.4,38.5,10.4,21.3,
Urias, Luis,649966,2021,24,155,182,33,19,8,0,6,45,23,24.7,12.6,.213,.381,.313,.694,.227,.440,.312,.327,.326,.214,88,13.8,33.3,10.5,23.6,
Arraez, Luis,650333,2021,24,141,162,39,34,3,1,1,18,17,11.1,10.5,.277,.333,.358,.691,.308,.453,.310,.364,.387,.145,90.3,8.8,40.8,3.2,12,
Torres, Gleyber,650402,2021,25,176,200,48,38,7,0,3,38,23,19.0,11.5,.273,.364,.355,.719,.254,.402,.317,.326,.337,.149,85.3,15.1,35,5.6,26,
Castro, Willi,650489,2021,24,161,177,37,25,7,2,3,49,9,27.7,5.1,.230,.354,.288,.642,.227,.335,.293,.279,.290,.108,85.1,15.4,34.2,3.4,32.5,
Diaz, Yandy,650490,2021,30,179,219,45,38,7,0,0,29,37,13.2,16.9,.251,.291,.384,.674,.249,.352,.316,.335,.383,.102,90,2.5,26.1,3.3,17.3,
Chapman, Matt,656305,2021,28,196,237,40,27,6,2,5,75,33,31.6,13.9,.204,.332,.312,.644,.192,.331,.288,.286,.305,.139,88,14.3,31.3,8.6,34.5,
Diaz, Isan,656371,2021,25,70,87,9,6,1,0,2,23,13,26.4,14.9,.129,.229,.264,.493,.220,.359,.216,.306,.350,.139,88.9,13,32.1,5.7,33.6,
Hoskins, Rhys,656555,2021,28,212,236,57,31,14,0,12,63,20,26.7,8.5,.269,.505,.339,.844,.247,.496,.363,.347,.320,.249,91.6,18.5,36.7,13.3,28.6,
Joe, Connor,656582,2021,29,43,52,10,8,2,0,0,12,9,23.1,17.3,.233,.279,.365,.644,.274,.391,.304,.357,.400,.117,85.7,12.3,38.7,6.5,22.5,
Luplow, Jordan,656669,2021,28,98,121,17,5,5,0,7,31,21,25.6,17.4,.173,.439,.331,.769,.187,.447,.339,.345,.341,.260,88.1,22.4,28.4,13.4,29.6,
McKinstry, Zach,656716,2021,26,70,76,17,9,5,0,3,18,4,23.7,5.3,.243,.443,.289,.732,.234,.396,.309,.287,.281,.162,89.3,12.7,32.1,7.5,22.2,
Mullins II, Cedric,656775,2021,27,223,249,70,45,14,3,8,45,23,18.1,9.2,.314,.511,.378,.889,.272,.429,.382,.337,.342,.156,89.4,14.4,35.2,5,19,
O'Hearn, Ryan,656811,2021,28,53,57,10,6,1,0,3,20,4,35.1,7.0,.189,.377,.246,.623,.218,.455,.272,.310,.273,.236,90.7,19.6,36.4,12.1,29.6,
Schwarber, Kyle,656941,2021,28,175,198,40,23,8,0,9,57,19,28.8,9.6,.229,.429,.318,.747,.244,.462,.326,.341,.332,.219,91.3,13.4,31.4,11.9,29.5,
Smith, Pavin,656976,2021,25,206,225,60,39,13,3,5,35,16,15.6,7.1,.291,.456,.347,.803,.306,.505,.349,.374,.362,.199,88.2,7,37.9,7.5,16.2,
Verdugo, Alex,657077,2021,25,197,217,57,39,10,1,7,28,16,12.9,7.4,.289,.457,.346,.802,.302,.480,.349,.361,.363,.177,89.9,7,37.9,5.7,15.6,
White, Evan,657108,2021,25,97,104,14,9,3,0,2,31,6,29.8,5.8,.144,.237,.202,.439,.191,.297,.199,.241,.246,.105,85.2,19.6,30.3,4.5,29.9,
DeJong, Paul,657557,2021,28,124,141,22,12,3,0,7,32,15,22.7,10.6,.177,.371,.277,.648,.239,.496,.288,.354,.330,.258,86,16.1,35.9,13,25,
Laureano, Ramon,657656,2021,27,183,205,47,26,8,2,11,55,17,26.8,8.3,.257,.503,.332,.834,.259,.535,.358,.368,.334,.276,89.4,10.7,35.7,14.7,26.7,
Fuentes, Joshua,658069,2021,28,171,181,43,26,11,1,5,41,9,22.7,5.0,.251,.415,.287,.702,.218,.307,.301,.248,.258,.089,85.4,16.6,32.1,2.3,27.4,
Moncada, Yoan,660162,2021,26,190,235,57,41,12,0,4,63,39,26.8,16.6,.300,.426,.430,.856,.289,.486,.385,.395,.419,.196,91.2,10.4,46.9,10.8,29.9,
Ohtani, Shohei,660271,2021,27,197,218,51,20,12,3,16,65,17,29.8,7.8,.259,.594,.326,.920,.264,.609,.385,.396,.335,.345,92.7,17.2,33.1,22.6,34.7,
Tsutsugo, Yoshi,660294,2021,30,103,118,16,12,4,0,0,39,14,33.1,11.9,.155,.194,.254,.448,.165,.241,.216,.236,.265,.076,89.9,14,20,1.5,28.6,
Acuna Jr., Ronald,660670,2021,24,188,224,53,26,9,1,17,46,29,20.5,12.9,.282,.612,.384,.996,.302,.640,.420,.442,.410,.338,94.4,18.7,36.1,19,23.7,
Contreras, William,661388,2021,24,76,87,17,10,1,1,5,28,8,32.2,9.2,.224,.461,.310,.771,.257,.509,.327,.358,.336,.251,93.4,7.3,32,18,33.7,
Hoerner, Nico,663538,2021,24,74,84,25,18,7,0,0,12,9,14.3,10.7,.338,.432,.405,.837,.309,.420,.360,.344,.380,.111,89.9,4.5,36.5,3.2,19.6,
Riley, Austin,663586,2021,24,183,214,56,38,8,0,10,61,22,28.5,10.3,.306,.514,.393,.906,.258,.480,.387,.354,.350,.222,89.2,11.4,29.7,12.5,29.4,
Madrigal, Nick,663611,2021,24,190,204,57,43,8,4,2,16,10,7.8,4.9,.300,.416,.343,.759,.263,.328,.331,.288,.312,.065,85.1,1.9,26.9,1.1,8.3,
Larnach, Trevor,663616,2021,24,66,82,17,9,5,0,3,22,13,26.8,15.9,.258,.470,.402,.872,.256,.507,.367,.390,.395,.250,90.5,15.9,45.7,17.4,37.2,
Mountcastle, Ryan,663624,2021,24,192,204,47,27,11,1,8,64,7,31.4,3.4,.245,.438,.275,.712,.228,.427,.304,.299,.264,.199,88.9,13.3,38.2,10.7,35.7,
Tucker, Kyle,663656,2021,24,208,233,53,30,11,1,11,38,20,16.3,8.6,.255,.476,.318,.794,.314,.571,.338,.396,.375,.257,91.3,17.4,39.3,9.8,20.9,
India, Jonathan,663697,2021,25,138,166,36,25,4,2,5,33,18,19.9,10.8,.261,.428,.367,.795,.230,.414,.348,.331,.343,.184,86.6,10.6,25,10.2,27.3,
Grisham, Trent,663757,2021,25,136,154,41,26,7,2,6,40,18,26.0,11.7,.301,.515,.383,.898,.250,.416,.388,.330,.338,.166,90.8,15.7,29.2,6.3,27.8,
Stephenson, Tyler,663886,2021,25,119,135,31,22,6,0,3,26,13,19.3,9.6,.261,.387,.348,.735,.263,.414,.325,.334,.350,.152,88.7,7.3,32.3,7.5,19.4,
Lowe, Nate,663993,2021,26,216,252,52,37,7,0,8,72,34,28.6,13.5,.241,.384,.345,.729,.241,.446,.326,.343,.345,.206,91,6.3,35.9,12.4,30,
Happ, Ian,664023,2021,27,156,184,29,19,4,0,6,54,24,29.3,13.0,.186,.327,.304,.631,.222,.376,.289,.319,.336,.154,90.2,6.2,28.2,9.7,33.1,
France, Ty,664034,2021,27,180,205,45,28,14,0,3,40,18,19.5,8.8,.250,.378,.337,.714,.243,.397,.318,.327,.334,.153,88.4,13.3,36.2,9.2,21,
Lowe, Brandon,664040,2021,27,195,227,37,21,6,0,10,71,26,31.3,11.5,.190,.374,.300,.674,.229,.454,.302,.338,.337,.226,89.2,13.8,35.2,12.5,35.7,
Bader, Harrison,664056,2021,27,73,83,16,10,2,0,4,13,9,15.7,10.8,.219,.411,.301,.712,.238,.427,.286,.302,.320,.189,85.6,17.1,24.6,6.6,21.3,
Stevenson, Andrew,664057,2021,27,89,100,21,17,2,0,2,31,6,31.0,6.0,.236,.326,.290,.616,.245,.371,.278,.302,.308,.126,88.4,5.4,26.2,4.9,28.9,
Fletcher, David,664058,2021,27,213,227,55,48,6,1,0,26,10,11.5,4.4,.258,.296,.286,.582,.266,.308,.261,.270,.298,.041,81.9,8.4,31.4,0,9.2,
Haggerty, Sam,664059,2021,27,86,94,16,11,3,0,2,28,6,29.8,6.4,.186,.291,.245,.535,.219,.375,.242,.287,.278,.156,87.5,7.6,35.6,5.1,31.1,
Moore, Dylan,664238,2021,29,119,137,20,8,7,0,5,43,16,31.4,11.7,.168,.353,.270,.623,.205,.356,.277,.294,.303,.152,86.7,16.7,32.5,11.7,28,
Garlick, Kyle,664247,2021,29,88,93,22,9,8,0,5,28,3,30.1,3.2,.250,.511,.280,.791,.264,.561,.331,.366,.309,.297,89.2,20,38.1,14.3,30.3,
Straw, Myles,664702,2021,27,187,211,46,38,7,1,0,40,19,19.0,9.0,.246,.294,.318,.612,.254,.320,.275,.292,.328,.065,86,8.4,43.4,0.7,12.9,
Bohm, Alec,664761,2021,25,203,220,43,32,7,0,4,62,13,28.2,5.9,.212,.305,.255,.560,.259,.418,.247,.312,.301,.159,92,4.6,36.6,8.3,26.4,
Tom, Ka'ai,664789,2021,27,72,92,12,9,1,0,2,23,12,25.0,13.0,.167,.264,.315,.579,.201,.314,.271,.316,.351,.113,84,9.5,30.2,5.7,31.6,
Mendick, Danny,664901,2021,28,55,64,11,9,0,0,2,17,8,26.6,12.5,.200,.309,.297,.606,.221,.321,.279,.288,.320,.100,82.9,18.1,35.9,2.6,23.7,
Brown, Seth,664913,2021,29,119,131,23,10,5,0,8,35,12,26.7,9.2,.193,.437,.267,.704,.234,.479,.304,.333,.304,.245,88.2,17,36.9,13.1,31.4,
Walsh, Jared,665120,2021,28,202,222,61,35,12,1,13,55,16,24.8,7.2,.302,.564,.360,.925,.269,.457,.391,.337,.331,.189,89.3,7,37.2,12.2,26.7,
Maton, Nick,665155,2021,24,102,108,26,18,6,0,2,35,5,32.4,4.6,.255,.373,.296,.669,.230,.359,.294,.275,.272,.129,88.2,16.4,35.8,7.5,31.6,
Tatis Jr., Fernando,665487,2021,22,151,177,45,19,9,0,17,44,22,24.9,12.4,.298,.695,.379,1.074,.297,.661,.436,.427,.381,.365,92.8,10.9,32.4,18.9,32.5,
Guerrero Jr., Vladimir,665489,2021,22,201,239,68,38,11,1,18,34,33,14.2,13.8,.338,.672,.439,1.111,.315,.608,.462,.430,.420,.293,94.7,7.7,32.7,14.9,27.4,
Pache, Cristian,665506,2021,23,63,68,7,3,3,0,1,25,2,36.8,2.9,.111,.206,.147,.353,.151,.246,.160,.196,.190,.095,81.7,8,20,5,37,
Soto, Juan,665742,2021,23,152,185,42,31,4,0,7,26,32,14.1,17.3,.276,.441,.400,.841,.317,.574,.363,.431,.441,.256,92.3,4.6,30.5,11.7,20.7,
Taveras, Leody,665750,2021,23,46,50,4,4,0,0,0,23,3,46.0,6.0,.087,.087,.160,.247,.157,.228,.127,.208,.224,.071,88.9,-0.5,13,4.3,30.1,
